dataset,split,group,image,original_split
dataset_1,train,T06AB9,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/T06AB9_jpg.rf.714a915e9867af293d90acf3301a3f55.jpg,train
dataset_1,val,IMG_20250729_084255,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250729_084255_jpg.rf.a0e055579a867f6722f14737a330b1c9.jpg,train
dataset_1,val,cargo-pallets-portrait-format-469981,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/cargo-pallets-portrait-format-469981_jpg.rf.90acc32f131495becb9bdb1259d44b6f.jpg,train
dataset_1,test,0470,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/0470_jpg.rf.51ced65ee699d11a01b2ce26640451f2.jpg,train
dataset_1,train,0558,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/0558_jpg.rf.0526b4b9fd8a7c60b377299e581e1789.jpg,train
dataset_1,test,2A3N3NB,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/2A3N3NB_jpg.rf.bb2785dd352961abf4a7871ea298908e.jpg,train
dataset_1,val,IMG_20250729_084117,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250729_084117_jpg.rf.2b836bb3646113cf3f4abf1dd948e37d.jpg,train
dataset_1,train,IMG_20250729_084004,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250729_084004_jpg.rf.f74a780385dfe979dce9f632cbd780b6.jpg,train
dataset_1,train,IMG_20250806_104135,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250806_104135_jpg.rf.b102077fc6bdc8eb4b15d278f04b77f3.jpg,train
dataset_1,train,many-new-bricks-on-foiled-pallets-stacked-on-one-another-and-ready-FYE9YT,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/many-new-bricks-on-foiled-pallets-stacked-on-one-another-and-ready-FYE9YT_jpg.rf.b4c659220690b93596d2468e89bb6f85.jpg,train
dataset_1,train,pallet-wood-texture-56255848,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/pallet-wood-texture-56255848_jpg.rf.f39f84aa7bc69a0e23e69e40b453a083.jpg,train
dataset_1,train,0490,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/0490_jpg.rf.68c7e3f1fb0b851ec07cc08f371246bf.jpg,train
dataset_1,train,IMG_20250729_085102,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250729_085102_jpg.rf.5ee9ec07a09eda7cf93f12e6a7801eb1.jpg,train
dataset_1,train,IMG_20250729_085042,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250729_085042_jpg.rf.90e3c4dca12a85be6e0ab5c7403f644b.jpg,train
dataset_1,train,wooden-pallets-stacks-cargo-shipping-60794719,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/wooden-pallets-stacks-cargo-shipping-60794719_jpg.rf.e881575dddc59eb3abe73ee37f3b240d.jpg,train
dataset_1,train,M44R3D,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/M44R3D_jpg.rf.a9242d637508eef5ee632d359da0e725.jpg,train
dataset_1,train,0506,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/0506_jpg.rf.44eac801b9a69ad6686e97deb17748a6.jpg,train
dataset_1,train,IMG_20250729_083641,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250729_083641_jpg.rf.5bd7a53b7b4e46e2c2162e511f807632.jpg,train
dataset_1,train,2DM4HAP,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/2DM4HAP_jpg.rf.b24de3b3ab0e0f88006b9e099813cfa8.jpg,train
dataset_1,train,wood-pallets-4395709,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/wood-pallets-4395709_jpg.rf.34e2f17d1f82d35554148a205823a7e3.jpg,train
dataset_1,train,IMG_20250729_084508,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250729_084508_jpg.rf.97cb51d967fcdf75662e84b38daf011e.jpg,train
dataset_1,train,IMG_20250729_083658,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250729_083658_jpg.rf.06cad3ccc5d7b7c8c64f30d6a1146fd0.jpg,train
dataset_1,train,IMG_20250813_135928,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250813_135928_jpg.rf.0d48fbc260d8e96f1cc5fe7bd35fca7a.jpg,train
dataset_1,train,IMG_20250813_140454,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250813_140454_jpg.rf.1c32a415005dfd3533279b16471d408d.jpg,train
dataset_1,train,IMG_20250729_084319,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250729_084319_jpg.rf.5e5fb23805f8a0cdda334170a142d954.jpg,train
dataset_1,val,IMG_20250806_103808,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250806_103808_jpg.rf.9f380c319dcf3a9e29f40c607d8ae819.jpg,train
dataset_1,val,IMG_20250729_084117,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250729_084117_jpg.rf.ba539adfb193aa82a16810cdc11ce2a8.jpg,train
dataset_1,train,IMG_20250729_083703,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250729_083703_jpg.rf.9dfe6fe03a298b58239141afda2628f9.jpg,train
dataset_1,train,00J0J_dnNVCSwRvV8_0CI0t2_600x450,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/00J0J_dnNVCSwRvV8_0CI0t2_600x450_jpg.rf.db02b9fea7e94fe2b82c930e4361e374.jpg,train
dataset_1,train,T06AB9,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/T06AB9_jpg.rf.12ce2512cae2715e2420ddc0d67dcf5b.jpg,train
dataset_1,train,IMG_20250806_103934,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250806_103934_jpg.rf.d8dee4094a4ad0d524178930869c0258.jpg,train
dataset_1,train,stack-industrial-plastic-pallets-215737481,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/stack-industrial-plastic-pallets-215737481_jpg.rf.be58d4d2f478b0aa8496acd6de330a6f.jpg,train
dataset_1,val,IMG_20250804_140855,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250804_140855_jpg.rf.f0ef1d2fec2151c785e3fc6bd6bd89c6.jpg,train
dataset_1,val,0484,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/0484_jpg.rf.f220977fcfa099b322d0e627c5c9ca50.jpg,train
dataset_1,train,IMG_20250813_135257,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250813_135257_jpg.rf.6a7b2ca16bd375532acedb2b736c36bc.jpg,train
dataset_1,train,images119_jpeg,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/images119_jpeg_jpg.rf.e2b725cfcc2f188ec2ff760aa0dfeff7.jpg,train
dataset_1,train,0480,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/0480_jpg.rf.03a6c768b99612e142b5af248edeae51.jpg,train
dataset_1,train,IMG_20250729_083852,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250729_083852_jpg.rf.6c477dd5ff036d6059c9d9d36cf0af13.jpg,train
dataset_1,train,IMG_20250729_083723,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250729_083723_jpg.rf.3ccecd631a4eecc32f8319f25085ad39.jpg,train
dataset_1,train,2AGN7DB,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/2AGN7DB_jpg.rf.082c600621d4abcc8f5d566f216a16fd.jpg,train
dataset_1,train,wooden-pallets-stacked-top-each-other-several-rows-warehouse-212717835-1-,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/wooden-pallets-stacked-top-each-other-several-rows-warehouse-212717835-1-_jpg.rf.8da56765b4ab285e3da98c905ace1f10.jpg,train
dataset_1,val,IMG_20250813_135117,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250813_135117_jpg.rf.24e707397b439249caee7592aa5fb8d4.jpg,train
dataset_1,train,C5C21K,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/C5C21K_jpg.rf.6cf1d1f25124b979cd5e2e674698a793.jpg,train
dataset_1,train,IMG_20250729_084004,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250729_084004_jpg.rf.90d228124bb55231031c984bfc25813e.jpg,train
dataset_1,test,images11_jpeg,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/images11_jpeg_jpg.rf.5daf972c5d912d8a0d347276ce8d790a.jpg,train
dataset_1,train,IMG_20250729_083517,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250729_083517_jpg.rf.b8eb1d531548a1aac3751e88bdfa137e.jpg,train
dataset_1,train,IMG_20250806_104140,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250806_104140_jpg.rf.2116a0df56e989a33e3f312ce020d252.jpg,train
dataset_1,train,DGKWTE,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/DGKWTE_jpg.rf.dfbea9c3d7a9dd1cef9e82c2e1943f20.jpg,train
dataset_1,test,IMG_20250806_103755,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250806_103755_jpg.rf.34abca885b7d2f9c66d7c26d5ae9d29d.jpg,train
dataset_1,train,IMG_20250729_084250,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250729_084250_jpg.rf.f152407c7eb811c0b85f80ddac5d1d64.jpg,train
dataset_1,train,IMG_20250813_135435,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250813_135435_jpg.rf.86f6a0441d10e41c959c7c1ef5d70a0f.jpg,train
dataset_1,train,IMG_20250806_104115,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250806_104115_jpg.rf.3540d230e0f869f2af890f1cf2c72628.jpg,train
dataset_1,train,IMG_20250729_083723,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250729_083723_jpg.rf.b565b0ba369debc242d7f44ececc7d31.jpg,train
dataset_1,test,pallets-yellow-color-wall-background-cargo-industrial-texture-50492568,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/pallets-yellow-color-wall-background-cargo-industrial-texture-50492568_jpg.rf.db2ae0e3cd47b603180fbd0253e95f46.jpg,train
dataset_1,train,group-full-big-bags-on-wooden-pallets-storage-of-bulk-cargo-in-big-bags-at-an-open-storage-area-the-railway-in-the-background-logistic-topics-sele-2B70WAX,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/group-full-big-bags-on-wooden-pallets-storage-of-bulk-cargo-in-big-bags-at-an-open-storage-area-the-railway-in-the-background-logistic-topics-sele-2B70WAX_jpg.rf.b26eaac8945f5f6e6566ae622c42baec.jpg,train
dataset_1,train,IMG_20250729_085042,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250729_085042_jpg.rf.90b15d044e41f6b107c981eadb09ade9.jpg,train
dataset_1,train,IMG_20250729_083703,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250729_083703_jpg.rf.3af1923a22471bdcf695ac717c3d9382.jpg,train
dataset_1,train,137896011-old-rusty-metal-pallets-in-production,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/137896011-old-rusty-metal-pallets-in-production_jpg.rf.1b59946bbdf9061a7da616fffbbf26fe.jpg,train
dataset_1,train,IMG_20250729_083852,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250729_083852_jpg.rf.b98871730007811ae06122caa9b404fc.jpg,train
dataset_1,train,IMG_20250729_083512,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250729_083512_jpg.rf.ac99014b49f6aeb6d2749b4200841f4c.jpg,train
dataset_1,train,IMG_20250729_085055,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250729_085055_jpg.rf.782820db60c593941642bed0e91f0e52.jpg,train
dataset_1,test,C5D4TR,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/C5D4TR_jpg.rf.72eb13d74f8693f1a32ade90df733cfa.jpg,train
dataset_1,train,wood-pallets-4395709,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/wood-pallets-4395709_jpg.rf.e92815bfe6b92d42519992ba890318d9.jpg,train
dataset_1,train,IMG_20250813_135804,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250813_135804_jpg.rf.7c19e480452d6bc3ed3c7dc22a9a5e1a.jpg,train
dataset_1,train,0488,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/0488_jpg.rf.350ffcfa6173475fbbd79522806a218e.jpg,train
dataset_1,train,IMG_20250729_083828,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250729_083828_jpg.rf.61dbfacfb7f43cb42256919fe7ba84f1.jpg,train
dataset_1,train,EA08YD,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/EA08YD_jpg.rf.62ca8451312b812de7b29b5c18a5d8c1.jpg,train
dataset_1,val,P94F69,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/P94F69_jpg.rf.ada1806aaccf19c69d76c20bafa8c97d.jpg,train
dataset_1,train,0538,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/0538_jpg.rf.7a1d8696e7ad6834b1516a9640264186.jpg,train
dataset_1,train,IMG_20250729_083517,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250729_083517_jpg.rf.ce052ec9e05039a54531aa730a75881a.jpg,train
dataset_1,val,IMG_20250729_083928,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250729_083928_jpg.rf.54adbc389f6008a9ca020fde1ed8f868.jpg,train
dataset_1,train,IMG_20250729_083652,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250729_083652_jpg.rf.42c7fffaba90797e0353e5f610e4eb6b.jpg,train
dataset_1,train,IMG_20250813_135810,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250813_135810_jpg.rf.2832567a43aee9729db6d8c4c16b55b5.jpg,train
dataset_1,train,IMG_20250729_083840,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250729_083840_jpg.rf.e8557adb1bd777b96857105e76554b50.jpg,train
dataset_1,train,IMG_20250813_135825,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250813_135825_jpg.rf.2183dcc4e69636ca15b2902238c947cd.jpg,train
dataset_1,train,IMG_20250806_104502,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250806_104502_jpg.rf.0db5d8d7ba58fa3b81bf9fe4a74c290d.jpg,train
dataset_1,train,MHP9X3,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/MHP9X3_jpg.rf.f853b47a93f6492a3ec09b0d59208ba8.jpg,train
dataset_1,val,IMG_20250729_083713,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250729_083713_jpg.rf.fa42ec03eb2a9ef2d38ad36e86a38509.jpg,train
dataset_1,val,IMG_20250813_135701,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250813_135701_jpg.rf.4e8c2b9452a4a69cbb3c24d6a64dcb5e.jpg,train
dataset_1,train,images128_jpeg,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/images128_jpeg_jpg.rf.5877364de6e5da9f899275efc680f774.jpg,train
dataset_1,val,IMG_20250729_085036,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250729_085036_jpg.rf.0ae3ee8608d49c1e201c1ff7ad46d608.jpg,train
dataset_1,train,IMG_20250806_104125,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250806_104125_jpg.rf.2f0dfd2dc6ca5371a8835281dd904441.jpg,train
dataset_1,val,P94F69,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/P94F69_jpg.rf.47340084aad1c7c8382c198187940ab4.jpg,train
dataset_1,train,IMG_20250806_104536,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250806_104536_jpg.rf.aa2a8e18a2698df2cc167adc5a9c5a13.jpg,train
dataset_1,train,IMG_20250729_084331,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250729_084331_jpg.rf.4f28cb309e841cfbaa1721fc7ad4865c.jpg,train
dataset_1,train,IMG_20250729_084021,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250729_084021_jpg.rf.2d576a1994845bb29fd3d7c71a57a908.jpg,train
dataset_1,train,IMG_20250806_104149,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250806_104149_jpg.rf.12ac81018c36bc6aafad2345bc4ef2f6.jpg,train
dataset_1,train,M2F7DY,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/M2F7DY_jpg.rf.fb2c54c7af277bf5242f8a9c3bfe82bd.jpg,train
dataset_1,val,IMG_20250729_083928,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250729_083928_jpg.rf.42daf53f89a25cbc5d6d2589c8975c96.jpg,train
dataset_1,test,2A3N3NB,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/2A3N3NB_jpg.rf.ea1e2a55b49339810918c059a6a35900.jpg,train
dataset_1,train,IMG_20250729_083940,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250729_083940_jpg.rf.cf7bfee65455e7cc3bf11594f26ee810.jpg,train
dataset_1,train,P8C2BE,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/P8C2BE_jpg.rf.dbe266eff260532030e712761824ef60.jpg,train
dataset_1,train,0556,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/0556_jpg.rf.35588da2f9841530c4bcc53cdc2033de.jpg,train
dataset_1,train,IMG_20250813_135406,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250813_135406_jpg.rf.d6b05e3ee06a0150834be942452b9794.jpg,train
dataset_1,train,IMG_20250729_084631,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250729_084631_jpg.rf.b4ef6614533283e757692377393c9428.jpg,train
dataset_1,train,IMG_20250729_085049,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250729_085049_jpg.rf.a542c3b30ac43aa06a2915d82545b35a.jpg,train
dataset_1,train,0444,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/0444_jpg.rf.f0b31604a99a7729ea90796e03604df9.jpg,train
dataset_1,train,wooden-pallets-23311358,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/wooden-pallets-23311358_jpg.rf.37f3a1693c19903ca032e215d794b2de.jpg,train
dataset_1,train,IMG_20250806_103934,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250806_103934_jpg.rf.6a6d821459b2bcf114bde032d5f3cd85.jpg,train
dataset_1,train,IMG_20250729_085049,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250729_085049_jpg.rf.5175aecf133ee253958ea70d41564687.jpg,train
dataset_1,train,0550,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/0550_jpg.rf.d6629556f1ba62bcc8f25f016565a630.jpg,train
dataset_1,train,IMG_20250806_104050,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250806_104050_jpg.rf.fc14bd326625891e5a94f9b58b093170.jpg,train
dataset_1,train,IMG_20250729_083912,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250729_083912_jpg.rf.4a2fc2b2c938265a9c86f764558f8904.jpg,train
dataset_1,test,IMG_20250806_103953,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250806_103953_jpg.rf.de1165c9de340c8ac99414e7d80c85ec.jpg,train
dataset_1,train,0434,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/0434_jpg.rf.1d1275f50dbdfb4696e83bb987ea52c8.jpg,train
dataset_1,test,wooden-pallets-stock-factory-backyard-pile-87613128,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/wooden-pallets-stock-factory-backyard-pile-87613128_jpg.rf.3678fc4388a52535a5b3023de0cc28a7.jpg,train
dataset_1,val,IMG_20250806_104456,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250806_104456_jpg.rf.6cd89fb379b82fe72c909ebb06b6c0d0.jpg,train
dataset_1,train,IMG_20250729_084004,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250729_084004_jpg.rf.b7f2a704d78c59d18496f1af5ff9831c.jpg,train
dataset_1,train,images26_jpeg,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/images26_jpeg_jpg.rf.a325b766eb8f1e4a949cdc0fc97a95be.jpg,train
dataset_1,train,a-pile-of-old-wooden-pallets-stacked-outdoors-painted-in-different-colors-2AYA42G,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/a-pile-of-old-wooden-pallets-stacked-outdoors-painted-in-different-colors-2AYA42G_jpg.rf.2cc1d14375df523028d2a79050e63542.jpg,train
dataset_1,train,images6_jpeg,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/images6_jpeg_jpg.rf.d8e5eb0be19d20bfc73bceefce00c67a.jpg,train
dataset_1,train,IMG_20250729_084013,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250729_084013_jpg.rf.9521266250a2f4bf93df5f86568c5a98.jpg,train
