distance_m,ex_m,experiment,ey_m,height_error_m,pass,pass_rate,reprojection_rms_px,rotation_deg,rotation_p95_deg,sigma_px,tilt_error_deg,translation_m,translation_p95_m,view_angle_deg
,0.0,zero_noise,3.3306690738754696e-16,,1,,5.684341886080802e-14,0.0,,0.0,,3.3306690738754696e-16,,
,8.881784197001252e-16,zero_noise,7.771561172376096e-16,,1,,5.317214951750687e-14,5.684341886080802e-14,,0.0,,1.1801832636420706e-15,,
,1.3322676295501878e-15,zero_noise,0.0,,1,,2.842170943040401e-14,0.0,,0.0,,1.3322676295501878e-15,,
,4.440892098500626e-16,zero_noise,2.220446049250313e-16,,1,,4.0194366942304644e-14,2.842170943040401e-14,,0.0,,4.965068306494546e-16,,
,0.0,zero_noise,1.1102230246251565e-16,,1,,4.0194366942304644e-14,2.842170943040401e-14,,0.0,,1.1102230246251565e-16,,
,8.881784197001252e-16,zero_noise,2.7755575615628914e-16,,1,,5.684341886080802e-14,8.526512829121202e-14,,0.0,,9.305364597889227e-16,,
,8.881784197001252e-16,zero_noise,3.885780586188048e-16,,1,,6.029155041345696e-14,5.684341886080802e-14,,0.0,,9.694605782913356e-16,,
,2.220446049250313e-16,zero_noise,5.551115123125783e-16,,1,,8.038873388460929e-14,5.684341886080802e-14,,0.0,,5.978733960281817e-16,,
,6.661338147750939e-16,zero_noise,2.220446049250313e-16,,1,,0.0,2.842170943040401e-14,,0.0,,7.021666937153402e-16,,
,0.0,zero_noise,1.1102230246251565e-16,,1,,4.4938668397781776e-14,0.0,,0.0,,1.1102230246251565e-16,,
,8.881784197001252e-16,zero_noise,1.5543122344752192e-15,,1,,8.038873388460929e-14,2.842170943040401e-14,,0.0,,1.790180836524724e-15,,
,0.0,zero_noise,2.7755575615628914e-16,,1,,4.0194366942304644e-14,2.842170943040401e-14,,0.0,,2.7755575615628914e-16,,
,2.220446049250313e-16,zero_noise,2.220446049250313e-16,,1,,0.0,0.0,,0.0,,3.1401849173675503e-16,,
,8.881784197001252e-16,zero_noise,1.5543122344752192e-15,,1,,5.684341886080802e-14,5.684341886080802e-14,,0.0,,1.790180836524724e-15,,
,0.0,zero_noise,3.3306690738754696e-16,,1,,4.0194366942304644e-14,5.684341886080802e-14,,0.0,,3.3306690738754696e-16,,
,4.440892098500626e-16,zero_noise,1.2212453270876722e-15,,1,,0.0,8.526512829121202e-14,,0.0,,1.2994827337208943e-15,,
,0.0,zero_noise,1.1102230246251565e-16,,1,,0.0,0.0,,0.0,,1.1102230246251565e-16,,
,8.881784197001252e-16,zero_noise,1.2212453270876722e-15,,1,,8.28628102289784e-14,5.684341886080802e-14,,0.0,,1.5100665727558131e-15,,
,4.440892098500626e-16,zero_noise,5.551115123125783e-16,,1,,1.3923737144427707e-13,5.684341886080802e-14,,0.0,,7.108895957933346e-16,,
,4.440892098500626e-16,zero_noise,7.771561172376096e-16,,1,,4.0194366942304644e-14,2.842170943040401e-14,,0.0,,8.95090418262362e-16,,
,0.0,zero_noise,1.1102230246251565e-16,,1,,4.4938668397781776e-14,2.842170943040401e-14,,0.0,,1.1102230246251565e-16,,
,0.0,zero_noise,4.0245584642661925e-16,,1,,4.9227844771419234e-14,5.684341886080802e-14,,0.0,,4.0245584642661925e-16,,
,4.440892098500626e-16,zero_noise,6.106226635438361e-16,,1,,5.684341886080802e-14,5.684341886080802e-14,,0.0,,7.550332863779066e-16,,
,4.440892098500626e-16,zero_noise,3.3306690738754696e-16,,1,,8.987733679556355e-14,0.0,,0.0,,5.551115123125783e-16,,
,4.440892098500626e-16,zero_noise,5.551115123125783e-16,,1,,4.9227844771419234e-14,0.0,,0.0,,7.108895957933346e-16,,
,0.0,zero_noise,8.881784197001252e-16,,1,,4.9227844771419234e-14,1.4210854715202004e-13,,0.0,,8.881784197001252e-16,,
,8.881784197001252e-16,zero_noise,6.661338147750939e-16,,1,,1.0634429903501374e-13,5.684341886080802e-14,,0.0,,1.1102230246251565e-15,,
,8.881784197001252e-16,zero_noise,6.661338147750939e-16,,1,,4.4938668397781776e-14,2.842170943040401e-14,,0.0,,1.1102230246251565e-15,,
,8.881784197001252e-16,zero_noise,4.440892098500626e-16,,1,,6.029155041345696e-14,2.842170943040401e-14,,0.0,,9.930136612989092e-16,,
,2.220446049250313e-16,zero_noise,2.220446049250313e-16,,1,,4.0194366942304644e-14,0.0,,0.0,,3.1401849173675503e-16,,
,4.440892098500626e-16,zero_noise,2.220446049250313e-16,,1,,6.961868572213853e-14,2.842170943040401e-14,,0.0,,4.965068306494546e-16,,
,0.0,zero_noise,2.220446049250313e-16,,1,,0.0,2.842170943040401e-14,,0.0,,2.220446049250313e-16,,
,4.440892098500626e-16,zero_noise,6.661338147750939e-16,,1,,0.0,5.684341886080802e-14,,0.0,,8.005932084973442e-16,,
,8.881784197001252e-16,zero_noise,5.551115123125783e-16,,1,,2.0097183471152322e-14,2.842170943040401e-14,,0.0,,1.047382306668854e-15,,
,4.440892098500626e-16,zero_noise,4.440892098500626e-16,,1,,8.038873388460929e-14,2.842170943040401e-14,,0.0,,6.280369834735101e-16,,
,0.0,zero_noise,2.220446049250313e-16,,1,,4.4938668397781776e-14,5.684341886080802e-14,,0.0,,2.220446049250313e-16,,
,8.881784197001252e-16,zero_noise,1.3322676295501878e-15,,1,,2.0097183471152322e-14,1.1368683772161603e-13,,0.0,,1.6011864169946884e-15,,
,4.440892098500626e-16,zero_noise,0.0,,1,,6.961868572213853e-14,2.842170943040401e-14,,0.0,,4.440892098500626e-16,,
,4.440892098500626e-16,zero_noise,1.1102230246251565e-16,,1,,7.246142549764705e-14,2.842170943040401e-14,,0.0,,4.577566798522237e-16,,
,1.3322676295501878e-15,zero_noise,3.608224830031759e-16,,1,,6.355287432313019e-14,2.842170943040401e-14,,0.0,,1.3802644315448593e-15,,
,4.440892098500626e-16,zero_noise,0.0,,1,,5.684341886080802e-14,2.842170943040401e-14,,0.0,,4.440892098500626e-16,,
,1.7763568394002505e-15,zero_noise,1.1900203045200897e-15,,1,,2.842170943040401e-14,8.526512829121202e-14,,0.0,,2.1381281407002093e-15,,
,8.881784197001252e-16,zero_noise,2.220446049250313e-16,,1,,8.28628102289784e-14,2.842170943040401e-14,,0.0,,9.155133597044475e-16,,
,4.440892098500626e-16,zero_noise,1.1102230246251565e-16,,1,,4.0194366942304644e-14,2.842170943040401e-14,,0.0,,4.577566798522237e-16,,
,4.440892098500626e-16,zero_noise,2.220446049250313e-16,,1,,3.2171190647067566e-14,2.842170943040401e-14,,0.0,,4.965068306494546e-16,,
,4.440892098500626e-16,zero_noise,5.551115123125783e-16,,1,,5.684341886080802e-14,5.684341886080802e-14,,0.0,,7.108895957933346e-16,,
,0.0,zero_noise,4.440892098500626e-16,,1,,2.842170943040401e-14,5.684341886080802e-14,,0.0,,4.440892098500626e-16,,
,0.0,zero_noise,0.0,,1,,0.0,0.0,,0.0,,0.0,,
,1.7763568394002505e-15,zero_noise,4.440892098500626e-16,,1,,4.9227844771419234e-14,2.842170943040401e-14,,0.0,,1.831026719408895e-15,,
,2.220446049250313e-16,zero_noise,2.220446049250313e-16,,1,,6.961868572213853e-14,0.0,,0.0,,3.1401849173675503e-16,,
,2.220446049250313e-16,zero_noise,2.220446049250313e-16,,1,,0.0,2.842170943040401e-14,,0.0,,3.1401849173675503e-16,,
,0.0,zero_noise,8.881784197001252e-16,,1,,2.0097183471152322e-14,8.526512829121202e-14,,0.0,,8.881784197001252e-16,,
,4.440892098500626e-16,zero_noise,0.0,,1,,4.4938668397781776e-14,2.842170943040401e-14,,0.0,,4.440892098500626e-16,,
,0.0,zero_noise,8.604228440844963e-16,,1,,4.4938668397781776e-14,5.684341886080802e-14,,0.0,,8.604228440844963e-16,,
,8.881784197001252e-16,zero_noise,1.5543122344752192e-15,,1,,4.6048432255985435e-14,1.4210854715202004e-13,,0.0,,1.790180836524724e-15,,
,8.881784197001252e-16,zero_noise,5.551115123125783e-16,,1,,4.0194366942304644e-14,5.684341886080802e-14,,0.0,,1.047382306668854e-15,,
,1.3322676295501878e-15,zero_noise,4.440892098500626e-16,,1,,2.0097183471152322e-14,8.526512829121202e-14,,0.0,,1.4043333874306805e-15,,
,8.881784197001252e-16,zero_noise,1.1102230246251565e-16,,1,,0.0,5.684341886080802e-14,,0.0,,8.95090418262362e-16,,
,4.440892098500626e-16,zero_noise,1.1102230246251565e-16,,1,,1.0634429903501374e-13,0.0,,0.0,,4.577566798522237e-16,,
,4.440892098500626e-16,zero_noise,0.0,,1,,9.845568954283847e-14,0.0,,0.0,,4.440892098500626e-16,,
,8.881784197001252e-16,zero_noise,2.220446049250313e-16,,1,,8.038873388460929e-14,5.684341886080802e-14,,0.0,,9.155133597044475e-16,,
,4.440892098500626e-16,zero_noise,1.7763568394002505e-15,,1,,1.2058310082691391e-13,5.684341886080802e-14,,0.0,,1.831026719408895e-15,,
,0.0,zero_noise,4.440892098500626e-16,,1,,0.0,2.842170943040401e-14,,0.0,,4.440892098500626e-16,,
,4.440892098500626e-16,zero_noise,2.220446049250313e-16,,1,,0.0,2.842170943040401e-14,,0.0,,4.965068306494546e-16,,
,4.440892098500626e-16,zero_noise,0.0,,1,,0.0,0.0,,0.0,,4.440892098500626e-16,,
,4.440892098500626e-16,zero_noise,4.996003610813204e-16,,1,,8.987733679556355e-14,2.842170943040401e-14,,0.0,,6.684427777288335e-16,,
,4.440892098500626e-16,zero_noise,5.273559366969494e-16,,1,,7.519677498818824e-14,5.684341886080802e-14,,0.0,,6.894341957538586e-16,,
,4.440892098500626e-16,zero_noise,2.220446049250313e-16,,1,,4.0194366942304644e-14,0.0,,0.0,,4.965068306494546e-16,,
,0.0,zero_noise,3.3306690738754696e-16,,1,,4.0194366942304644e-14,0.0,,0.0,,3.3306690738754696e-16,,
,0.0,zero_noise,1.4988010832439613e-15,,1,,2.0097183471152322e-14,1.4210854715202004e-13,,0.0,,1.4988010832439613e-15,,
,0.0,zero_noise,2.220446049250313e-16,,1,,0.0,0.0,,0.0,,2.220446049250313e-16,,
,0.022424017978661226,landmark_noise,0.011343011414604254,,0,,0.8232875795164697,0.7378136234353292,,0.5,,0.02512967350084685,,
,0.008238375693783162,landmark_noise,0.006419295578980799,,1,,0.5154266005646496,0.9393069629414867,,0.5,,0.010444050450004521,,
,0.0035863542190206488,landmark_noise,0.0018245871903836974,,1,,0.3284471997573884,0.333759490332028,,0.5,,0.004023811004458271,,
,0.004093648859790466,landmark_noise,0.0038646907483338155,,1,,0.30361954000893976,0.32154735404691337,,0.5,,0.005629724288765904,,
,0.010204698323212469,landmark_noise,0.0008711976451226677,,1,,0.1792929351099724,0.3738676199307349,,0.5,,0.010241818842600305,,
,0.0013352179929149166,landmark_noise,0.0005246309576128205,,1,,0.11144373086739755,0.055313953311497244,,0.5,,0.0014345886972541933,,
,0.007443856145027183,landmark_noise,0.0038582731962083505,,1,,1.5011515064877434,0.5078002780121551,,0.5,,0.008384346507894266,,
,0.020493905463660145,landmark_noise,0.012614485466799774,,0,,1.1512439071982339,0.9445144555103582,,0.5,,0.02406502451163393,,
,0.03487309797461169,landmark_noise,0.0013055536783681543,,0,,0.5506030466055862,0.050076515285979895,,0.5,,0.034897527602309686,,
,0.019378757832082982,landmark_noise,0.005940108855742587,,0,,0.07646415093897568,0.4017636956770616,,0.5,,0.02026872340164987,,
,6.4694161505673975e-06,landmark_noise,0.010711937736364474,,1,,0.9219771877794458,0.6822926247666885,,0.5,,0.010711939689948529,,
,0.019660931906984924,landmark_noise,0.014430562041280903,,0,,0.5098892127799209,1.1613812966348291,,0.5,,0.024388385848152293,,
,0.006865865471122223,landmark_noise,0.000682846992331898,,1,,0.08692964482570964,0.5002751893334505,,0.5,,0.006899738305362393,,
,0.004020023568086284,landmark_noise,0.0035213649788226054,,1,,0.22742951284767463,0.03416600968739658,,0.5,,0.005344211897188163,,
,0.011405827157077386,landmark_noise,0.01568299058340028,,1,,0.17450543345104805,1.215041201839881,,0.5,,0.019391985116953496,,
,0.023317314842171477,landmark_noise,0.019926026756725612,,0,,0.10507192815790702,1.4164692898740725,,0.5,,0.030671545669540282,,
,0.007939984875248829,landmark_noise,0.0023781190954604847,,1,,0.4017214853301604,0.5636999468587192,,0.5,,0.008288474543085353,,
,0.004678643249316661,landmark_noise,0.0026736519109278323,,1,,0.2555877714192619,0.45617891507453123,,0.5,,0.0053887027376896945,,
,0.050918772795704115,landmark_noise,0.035871331579582555,,0,,0.9413882374760856,3.489801173218467,,0.5,,0.062285422470373386,,
,0.006697925711472763,landmark_noise,0.0037447487868428886,,1,,1.3539687985227962,0.48590992797284116,,0.5,,0.007673679190125764,,
,0.0007786913222513903,landmark_noise,0.028001284103482238,,0,,0.9370684872410788,2.049916155674964,,0.5,,0.02801210937468431,,
,0.06644593086452844,landmark_noise,0.052238188572272526,,0,,1.44313079382008,4.909771802456191,,0.5,,0.08452153615360997,,
,0.002490173909388105,landmark_noise,0.004181675252440897,,1,,0.2630325091102431,0.5007375616632146,,0.5,,0.004866967640725987,,
,0.019811389014396052,landmark_noise,0.0013322914428792743,,1,,0.5620084353321971,0.7088411000483177,,0.5,,0.019856135957645484,,
,0.002374781631748979,landmark_noise,0.0014356804161597125,,1,,0.10140164475524778,0.39895788616468053,,0.5,,0.002775025415349717,,
,0.008650836954806618,landmark_noise,0.013670758883731593,,1,,0.592486684633174,1.7086621824621204,,0.5,,0.016177967377757136,,
,0.0009628977426703322,landmark_noise,0.003612895726223031,,1,,0.015288838359347082,0.2558278742147593,,0.5,,0.0037390089049640233,,
,0.014009430483818974,landmark_noise,0.030226888008690667,,0,,2.295654266668512,3.7623032940508665,,0.5,,0.0333155954647502,,
,0.01406871537850396,landmark_noise,0.01684939068497937,,0,,0.07195804543821005,1.4018699793761868,,0.5,,0.02195064278913999,,
,0.004291103510369876,landmark_noise,0.0030331808657286796,,1,,0.14869422917168157,0.5832441197570972,,0.5,,0.005254879208976287,,
,0.007859041744352702,landmark_noise,0.003538748161837413,,1,,0.35222041084647265,0.062247314595651915,,0.5,,0.0086190066534599,,
,0.007332198478215091,landmark_noise,0.001600879893473628,,1,,0.20075763317770517,0.12005619836190817,,0.5,,0.0075049284445135,,
,0.011283311088270853,landmark_noise,0.0006206577083338605,,1,,0.31553532926666716,0.24775921983058424,,0.5,,0.011300368361500886,,
,0.001443987161674265,landmark_noise,0.0010678689758369282,,1,,0.07106302332014472,0.18296534419360455,,0.5,,0.0017959518569925837,,
,0.0026954896015478624,landmark_noise,0.006088656850606555,,1,,0.13298306915244262,1.0877762320873217,,0.5,,0.00665863397676211,,
,0.001525845501854084,landmark_noise,0.0014457992286502908,,1,,0.05745637130243107,0.045818802001775794,,0.5,,0.0021020323273189968,,
,0.006162912150055266,landmark_noise,0.01165122074680558,,1,,1.6696008778110785,1.244383479389768,,0.5,,0.013180759881740186,,
,0.01029135728808761,landmark_noise,0.007603838631426607,,1,,0.421775670280189,0.45373946130817444,,0.5,,0.012795717907325466,,
,0.023695354714626582,landmark_noise,0.006841673524374592,,0,,0.9292526203247342,0.8963281161281316,,0.5,,0.024663299285904643,,
,0.00048537044464236345,landmark_noise,0.002894858979764825,,1,,0.14359630958902836,0.24599230790101956,,0.5,,0.002935267105606808,,
,0.004546876359131424,landmark_noise,0.010435197699560583,,1,,0.9171501015184504,0.8571487619279594,,0.5,,0.01138276924364817,,
,0.0015980116847327253,landmark_noise,0.029914220761277366,,0,,0.6822840267940824,2.48389983845874,,0.5,,0.029956873086138015,,
,0.035525764500524026,landmark_noise,0.01518312946493161,,0,,1.0421336687278622,2.635771086830431,,0.5,,0.03863427705672215,,
,0.005233081146962526,landmark_noise,0.005765991007528504,,1,,0.29002510836171747,0.3516277896491147,,0.5,,0.007786641804372036,,
,0.006176968964866525,landmark_noise,0.0020863355225341773,,1,,0.07032845100070483,0.2237130410677537,,0.5,,0.006519796124535812,,
,0.01297883601936789,landmark_noise,0.006100169465497074,,1,,0.34822404491351355,0.7863931454947419,,0.5,,0.014340929255993985,,
,0.008087888607684945,landmark_noise,0.013731648205367097,,1,,0.4690121664313396,1.138952026635792,,0.5,,0.01593650226888828,,
,0.03972836084043596,landmark_noise,0.009429751319580015,,0,,0.236946776157313,0.2609965266678387,,0.5,,0.04083213030221429,,
,0.0018392149018677806,landmark_noise,0.0007154691216442188,,1,,0.40123073801542847,0.1960106807222246,,0.5,,0.001973475999164636,,
,0.00360304046461124,landmark_noise,0.012336916944884146,,1,,0.16309663629277352,1.084515236156676,,0.5,,0.012852292413985746,,
,0.0008607325609348848,landmark_noise,0.015725293670562163,,1,,0.1463144723891238,1.142120859953252,,0.5,,0.0157488323874145,,
,0.024229420605453633,landmark_noise,0.01983150537341838,,0,,1.032266129499354,1.7558653003404743,,0.5,,0.03131059610182954,,
,0.005039443120922638,landmark_noise,0.003440792887210442,,1,,0.018637392985564556,0.34782147885408676,,0.5,,0.006102052331936564,,
,0.012079419092289712,landmark_noise,0.020096729948891,,0,,1.374542745234526,2.224398782856639,,0.5,,0.023447620780066913,,
,0.007369909584818313,landmark_noise,0.006347310528121319,,1,,0.6312595578016836,0.42521320388294725,,0.5,,0.009726454555941573,,
,0.00313984910697096,landmark_noise,0.003374777790574768,,1,,0.4069397583677487,0.0821605366167546,,0.5,,0.004609531163828166,,
,0.004763621455993405,landmark_noise,0.011540412676585898,,1,,0.8265150446531442,0.6752534434797042,,0.5,,0.012484919467978367,,
,0.013930655718952245,landmark_noise,0.01740792195465235,,0,,0.31634931427861773,1.910314419641736,,0.5,,0.022295715183398897,,
,0.011499985636162169,landmark_noise,0.008175063628390822,,1,,0.2813694175072589,0.07499249659176144,,0.5,,0.014109618526387407,,
,0.01528104789957796,landmark_noise,0.00111584767941586,,1,,0.002592976915839571,0.40113138095370005,,0.5,,0.015321734267140053,,
,0.005208945984969127,landmark_noise,0.005555687568507051,,1,,0.4324700586396536,0.240399982112649,,0.5,,0.007615693181397854,,
,0.010724294800640966,landmark_noise,0.0019561857699763596,,1,,0.28209793703295627,0.5276476601683271,,0.5,,0.01090124588006861,,
,0.03093843174939126,landmark_noise,0.02030756941006917,,0,,1.0181658480086206,1.5166835054957915,,0.5,,0.03700789016488941,,
,4.039877216754917e-06,landmark_noise,0.005301832657821359,,1,,0.3100478082207256,0.1303164004346229,,0.5,,0.005301834196968915,,
,0.0022749821226062394,landmark_noise,0.019531793571564066,,1,,0.7120027589443406,1.2690827569957719,,0.5,,0.01966383746323106,,
,0.0007651560762385046,landmark_noise,0.00155197674527352,,1,,0.1349700197622435,0.03199025005380918,,0.5,,0.001730345525863113,,
,0.00613785164480074,landmark_noise,0.025948197322143457,,0,,0.8822670550382017,2.8208814037675722,,0.5,,0.026664248856520897,,
,0.0007767977056682973,landmark_noise,0.0158719252048084,,1,,0.8480042028971759,1.1081223011008774,,0.5,,0.015890922703938992,,
,0.0347255541956093,landmark_noise,0.0002361141801450195,,0,,0.9713831814184664,0.9207283082441791,,0.5,,0.0347263569079491,,
,0.013167850335991993,landmark_noise,0.022661659519639388,,0,,0.030335964642638217,2.070886944058799,,0.5,,0.02620959928452068,,
,0.01688863991945322,landmark_noise,0.010014089515101188,,1,,0.8433193407092935,1.0618856818336724,,0.5,,0.019634361388784927,,
,0.004481625819735768,landmark_noise,0.004299224619731756,,1,,0.3111825293210248,0.7350833548368598,,0.5,,0.006210338341751596,,
,0.011070388178004986,landmark_noise,0.00022490337050107279,,1,,0.6591328881951937,0.19214359532139724,,0.5,,0.011072672483992982,,
,0.010188917590721047,landmark_noise,0.01040635427707759,,1,,1.1945502536291992,0.631804748644214,,0.5,,0.014563867996193726,,
,0.007540070305409596,landmark_noise,0.004137568004984937,,1,,0.3987164821921634,0.015914328554941903,,0.5,,0.008600705157508574,,
,0.00017006889667525726,landmark_noise,0.002112166452500508,,1,,0.011095659947324954,0.11764309119365635,,0.5,,0.002119002254053761,,
,0.004651341332179371,landmark_noise,0.01786710428642846,,1,,0.11670409837443799,2.0076638569675254,,0.5,,0.018462621476121703,,
,0.0010696485761649832,landmark_noise,0.0008168287068572866,,1,,0.3388656813725073,0.10388054364042887,,0.5,,0.001345866714365848,,
,0.00877779864963113,landmark_noise,0.004881265107893218,,1,,0.3374105192548642,0.2923667660456317,,0.5,,0.01004372929678025,,
,0.009961083899365342,landmark_noise,0.010894510286521775,,1,,0.5158137467189985,0.6492887411864956,,0.5,,0.014761895096271488,,
,0.003120583772765695,landmark_noise,0.0061281360190624246,,1,,0.29460489467612294,0.5755384293003374,,0.5,,0.006876924759729369,,
,0.0006287291165638642,landmark_noise,0.0012556883060499402,,1,,0.042691992388052054,0.19617022608235857,,0.5,,0.001404298196241007,,
,0.012001249042135509,landmark_noise,0.0019407889402501821,,1,,0.23528914039422716,0.5917448131766889,,0.5,,0.012157164154602664,,
,0.00016750700016299191,landmark_noise,0.004739195484037451,,1,,0.6119376915602566,0.6498962309564718,,0.5,,0.004742154829929593,,
,0.0017803325395064906,landmark_noise,0.0010983039284020446,,1,,0.38381375414005936,0.03968966003037622,,0.5,,0.002091854552871445,,
,0.0003808002446037406,landmark_noise,0.002987099441449592,,1,,0.4392167729896228,0.21095126304297196,,0.5,,0.0030112741322235567,,
,0.011947094235164712,landmark_noise,0.0049742072526957615,,1,,0.3506551957666478,0.22313851908575089,,0.5,,0.012941244084580007,,
,0.007217964674461008,landmark_noise,0.036702202992273725,,0,,1.559496048803029,3.6678038006631937,,0.5,,0.03740522314500788,,
,0.016343247059647403,landmark_noise,0.0027418365938990386,,1,,0.5311193850216948,0.4387101482861908,,0.5,,0.016571644226217184,,
,0.007616450242147188,landmark_noise,0.005128680622502824,,1,,0.6944403982158018,0.15715468508591357,,0.5,,0.009182248048203659,,
,0.0016771801772992312,landmark_noise,3.461616901379028e-05,,1,,0.5579206400854694,0.07302012963572224,,0.5,,0.0016775373695636924,,
,0.005238642987004827,landmark_noise,0.004039261052959597,,1,,0.9188602899825977,0.3331824788995732,,0.5,,0.006615059349639361,,
,0.0435026131235281,landmark_noise,0.030150182917244805,,0,,2.235486736178864,2.706748371023849,,0.5,,0.05292930075599601,,
,0.007206814836921094,landmark_noise,0.01757448409432283,,1,,1.114503576031979,1.8974134071265496,,0.5,,0.01899475378295997,,
,0.006067621872958728,landmark_noise,0.005049558443341429,,1,,1.0137182263887194,0.7417913635714797,,0.5,,0.007893926504973801,,
,0.00474412579541017,landmark_noise,0.0036044575270009482,,1,,0.42055203179115663,0.3205439333520417,,0.5,,0.005958090602418695,,
,0.019885988086577377,landmark_noise,0.026093240596132605,,0,,1.2083531471678568,3.2595232619019328,,0.5,,0.0328071596909449,,
,0.004352994481302108,landmark_noise,0.01538978893306897,,1,,0.8207729197749148,1.6773605491245291,,0.5,,0.01599356634270977,,
,0.006906397802835418,landmark_noise,0.011193166860314574,,1,,0.2365095794484348,1.6752970465764179,,0.5,,0.013152388185187294,,
,0.010872774333205548,landmark_noise,0.002608886893462725,,1,,0.03139045346360028,0.17426045369902,,0.5,,0.011181391350082285,,
,0.07470020198262084,landmark_noise,0.01961255567683068,,0,,3.3343494071894284,4.217286949369907,,1.0,,0.07723193974270706,,
,0.016938408588131004,landmark_noise,0.00466895934173106,,1,,0.10945295111222303,0.8027039345243452,,1.0,,0.017570112886182827,,
,0.005036100644362218,landmark_noise,0.0051235025102204235,,1,,0.3430845372303698,0.2762358961209088,,1.0,,0.0071841901194484355,,
,0.032372124586525164,landmark_noise,0.011792961822184811,,0,,1.0186347356894563,3.598246912329273,,1.0,,0.03445327849109596,,
,0.015057918171060614,landmark_noise,0.007585246575093407,,1,,0.7387739532049082,0.009817493900470708,,1.0,,0.016860512010354954,,
